fase,idade,iaa,ieg,ips,ipp,ida,mat,por,ipv,ian,defasagem,genero_f,genero_m,instituição_tipo_1,instituição_tipo_2,instituição_tipo_3,instituição_tipo_4,instituição_tipo_5,instituição_tipo_6,instituição_tipo_7
0,8,10.002,8.6666666665,6.26,5.625,8.0,10.0,6.0,5.446666667,10.0,0,0,1,1,0,0,0,0,0,0
0,8,10.002,9.3333333335,3.76,7.5,8.0,10.0,6.0,7.05,10.0,0,1,0,1,0,0,0,0,0,0
0,8,10.002,9.0833333335,3.76,7.5,8.0,10.0,6.0,7.046666667,10.0,0,0,1,1,0,0,0,0,0,0
0,8,8.002,9.75,3.76,6.875,7.0,8.0,6.0,7.213333333,5.0,-1,0,1,1,0,0,0,0,0,0
0,9,9.002,4.1666666665,3.76,5.0,7.5,8.0,7.0,4.173333333,5.0,-1,0,1,1,0,0,0,0,0,0
0,9,10.002,10.0,6.26,7.5,8.25,9.0,7.5,7.78,5.0,-1,1,0,1,0,0,0,0,0,0
0,9,9.502,10.0,7.51,8.125,10.0,10.0,10.0,9.73,5.0,-1,1,0,1,0,0,0,0,0,0
0,10,9.002,8.6136363635,7.51,7.1875,7.5,10.0,5.0,6.27,5.0,-2,0,1,1,0,0,0,0,0,0
0,9,10.002,9.5454545455,6.26,7.5,8.5,10.0,7.0,8.336666667,5.0,-1,0,1,1,0,0,0,0,0,0
0,9,7.918,9.5454545455,6.26,7.5,9.25,10.0,8.5,7.78,5.0,-1,1,0,1,0,0,0,0,0,0
0,9,9.502,9.5454545455,6.26,7.5,9.5,10.0,9.0,8.113333333,5.0,-1,1,0,1,0,0,0,0,0,0
0,8,10.002,8.818181818,6.26,7.5,8.75,10.0,7.5,8.223333333,5.0,-1,1,0,1,0,0,0,0,0,0
0,9,9.502,8.1136363635,6.26,7.5,9.25,10.0,8.5,7.89,5.0,-1,1,0,1,0,0,0,0,0,0
0,9,8.502,9.2954545455,6.26,7.5,9.75,10.0,9.5,8.28,5.0,-1,0,1,1,0,0,0,0,0,0
0,9,9.002,7.409090909,7.51,7.5,8.5,10.0,7.0,7.5,5.0,-1,0,1,1,0,0,0,0,0,0
0,10,10.002,9.230769231,7.51,7.5,9.0,10.0,8.0,8.28,5.0,-2,0,1,1,0,0,0,0,0,0
0,10,10.002,9.0454545455,6.26,7.5,8.75,10.0,7.5,8.003333333,5.0,-1,1,0,1,0,0,0,0,0,0
